Running with width=512, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0329
MASTER_ADDR:MASTER_PORT=10.14.3.19:9469
----------------------------------
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:52:33,838] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_512_lr_0.00390625/
Overriding: n_head = 8
Overriding: n_embd = 512
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0329.jureca]:39221 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520tokens per iteration will be: 491,520

Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
number of parameters: 63.52M
number of parameters: 63.52M
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 64,028,672 parameters
num non-decayed parameter tensors: 25, with 12,800 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.8806, val loss 10.8805
iter_num=0: train_lossf=10.8783, dt=86.388s, mfu=0.00%, tokens_per_sec=5,690
iter_num=1: train_lossf=10.8766, dt=0.621s, mfu=0.00%, tokens_per_sec=791,942
iter_num=2: train_lossf=10.8407, dt=0.600s, mfu=0.00%, tokens_per_sec=818,774
iter_num=3: train_lossf=10.7840, dt=0.832s, mfu=0.00%, tokens_per_sec=591,075
iter_num=4: train_lossf=10.7249, dt=0.638s, mfu=0.00%, tokens_per_sec=770,969
iter_num=5: train_lossf=10.6311, dt=0.576s, mfu=0.00%, tokens_per_sec=853,622
iter_num=6: train_lossf=10.5689, dt=0.573s, mfu=0.00%, tokens_per_sec=857,238
iter_num=7: train_lossf=10.4962, dt=0.572s, mfu=0.00%, tokens_per_sec=859,092
iter_num=8: train_lossf=10.4324, dt=0.580s, mfu=0.00%, tokens_per_sec=847,376
iter_num=9: train_lossf=10.3573, dt=0.565s, mfu=0.00%, tokens_per_sec=870,668
iter_num=10: train_lossf=10.2848, dt=0.579s, mfu=0.00%, tokens_per_sec=849,419
iter_num=11: train_lossf=10.2267, dt=0.564s, mfu=31.34%, tokens_per_sec=870,915
iter_num=12: train_lossf=10.2422, dt=0.600s, mfu=31.20%, tokens_per_sec=819,800
iter_num=13: train_lossf=10.2361, dt=0.592s, mfu=31.12%, tokens_per_sec=830,088
iter_num=14: train_lossf=10.0889, dt=0.573s, mfu=31.14%, tokens_per_sec=857,057
iter_num=15: train_lossf=10.0691, dt=0.558s, mfu=31.25%, tokens_per_sec=880,176
iter_num=16: train_lossf=10.1064, dt=0.711s, mfu=30.65%, tokens_per_sec=691,570
iter_num=17: train_lossf=10.0579, dt=0.569s, mfu=30.75%, tokens_per_sec=864,536
iter_num=18: train_lossf=10.0400, dt=0.563s, mfu=30.87%, tokens_per_sec=873,457
iter_num=19: train_lossf=9.9465, dt=0.566s, mfu=30.96%, tokens_per_sec=868,455
iter_num=20: train_lossf=9.9267, dt=0.590s, mfu=30.91%, tokens_per_sec=833,388
iter_num=21: train_lossf=9.8923, dt=0.565s, mfu=31.00%, tokens_per_sec=869,584
iter_num=22: train_lossf=9.8775, dt=0.713s, mfu=30.43%, tokens_per_sec=689,783
iter_num=23: train_lossf=9.8772, dt=0.719s, mfu=29.89%, tokens_per_sec=683,254
iter_num=24: train_lossf=9.8229, dt=0.568s, mfu=30.06%, tokens_per_sec=865,694
iter_num=25: train_lossf=9.8474, dt=0.695s, mfu=29.65%, tokens_per_sec=707,710
iter_num=26: train_lossf=9.8072, dt=0.569s, mfu=29.84%, tokens_per_sec=864,351
iter_num=27: train_lossf=9.7790, dt=0.558s, mfu=30.08%, tokens_per_sec=880,377
iter_num=28: train_lossf=9.7769, dt=0.713s, mfu=29.59%, tokens_per_sec=689,240
iter_num=29: train_lossf=9.6957, dt=0.605s, mfu=29.61%, tokens_per_sec=812,089
iter_num=30: train_lossf=9.7213, dt=0.565s, mfu=29.83%, tokens_per_sec=869,938
iter_num=31: train_lossf=9.6011, dt=0.563s, mfu=30.04%, tokens_per_sec=873,633
iter_num=32: train_lossf=9.7336, dt=0.572s, mfu=30.18%, tokens_per_sec=859,954
iter_num=33: train_lossf=9.7246, dt=0.572s, mfu=30.31%, tokens_per_sec=858,768
iter_num=34: train_lossf=9.4577, dt=0.562s, mfu=30.48%, tokens_per_sec=874,683
iter_num=35: train_lossf=9.6303, dt=0.566s, mfu=30.60%, tokens_per_sec=867,737
iter_num=36: train_lossf=9.5105, dt=0.571s, mfu=30.69%, tokens_per_sec=861,271
