Running with width=1024, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0332
MASTER_ADDR:MASTER_PORT=10.14.3.22:9469
----------------------------------
[2024-12-10 18:52:32,828] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] 
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:52:32,829] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_1024_lr_0.00390625/
Overriding: n_head = 16
Overriding: n_embd = 1024
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:37621 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0332.jureca]:37621 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 202.53M
number of parameters: 202.53M
number of parameters: 202.53M
number of parameters: 202.53M
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 203,554,816 parameters
num non-decayed parameter tensors: 25, with 25,600 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 10.9897, val loss 10.9901
iter_num=0: train_lossf=10.9685, dt=93.654s, mfu=0.00%, tokens_per_sec=5,248
iter_num=1: train_lossf=10.9895, dt=1.237s, mfu=0.00%, tokens_per_sec=397,376
iter_num=2: train_lossf=10.8915, dt=1.187s, mfu=0.00%, tokens_per_sec=414,179
iter_num=3: train_lossf=10.7388, dt=1.182s, mfu=0.00%, tokens_per_sec=416,011
iter_num=4: train_lossf=10.4879, dt=1.184s, mfu=0.00%, tokens_per_sec=414,975
iter_num=5: train_lossf=10.2434, dt=1.183s, mfu=0.00%, tokens_per_sec=415,481
iter_num=6: train_lossf=10.1374, dt=1.182s, mfu=0.00%, tokens_per_sec=415,913
iter_num=7: train_lossf=10.0147, dt=1.182s, mfu=0.00%, tokens_per_sec=415,710
iter_num=8: train_lossf=9.8523, dt=1.182s, mfu=0.00%, tokens_per_sec=415,941
iter_num=9: train_lossf=9.7633, dt=1.211s, mfu=0.00%, tokens_per_sec=405,886
iter_num=10: train_lossf=9.6419, dt=1.181s, mfu=0.00%, tokens_per_sec=416,266
iter_num=11: train_lossf=9.6146, dt=1.181s, mfu=45.42%, tokens_per_sec=416,292
iter_num=12: train_lossf=9.4677, dt=1.181s, mfu=45.44%, tokens_per_sec=416,352
iter_num=13: train_lossf=9.4682, dt=1.204s, mfu=45.36%, tokens_per_sec=408,314
iter_num=14: train_lossf=9.2514, dt=1.180s, mfu=45.39%, tokens_per_sec=416,443
iter_num=15: train_lossf=9.2843, dt=1.185s, mfu=45.39%, tokens_per_sec=414,721
iter_num=16: train_lossf=9.2648, dt=1.180s, mfu=45.41%, tokens_per_sec=416,541
iter_num=17: train_lossf=9.2660, dt=1.181s, mfu=45.42%, tokens_per_sec=416,204
iter_num=18: train_lossf=9.1924, dt=1.181s, mfu=45.44%, tokens_per_sec=416,349
iter_num=19: train_lossf=9.2082, dt=1.198s, mfu=45.39%, tokens_per_sec=410,296
iter_num=20: train_lossf=9.3057, dt=1.180s, mfu=45.41%, tokens_per_sec=416,447
iter_num=21: train_lossf=9.1395, dt=1.181s, mfu=45.42%, tokens_per_sec=416,194
iter_num=22: train_lossf=9.1684, dt=1.180s, mfu=45.44%, tokens_per_sec=416,465
iter_num=23: train_lossf=9.0033, dt=1.180s, mfu=45.45%, tokens_per_sec=416,471
iter_num=24: train_lossf=8.9461, dt=1.182s, mfu=45.46%, tokens_per_sec=415,885
iter_num=25: train_lossf=8.9674, dt=1.533s, mfu=44.43%, tokens_per_sec=320,621
iter_num=26: train_lossf=9.1764, dt=1.180s, mfu=44.54%, tokens_per_sec=416,712
iter_num=27: train_lossf=8.8638, dt=1.181s, mfu=44.65%, tokens_per_sec=416,241
iter_num=28: train_lossf=8.6184, dt=1.233s, mfu=44.55%, tokens_per_sec=398,585
iter_num=29: train_lossf=8.9996, dt=1.225s, mfu=44.48%, tokens_per_sec=401,278
iter_num=30: train_lossf=8.7120, dt=1.182s, mfu=44.59%, tokens_per_sec=415,949
iter_num=31: train_lossf=8.7107, dt=1.238s, mfu=44.48%, tokens_per_sec=397,041
iter_num=32: train_lossf=8.6643, dt=1.182s, mfu=44.58%, tokens_per_sec=415,923
iter_num=33: train_lossf=8.7269, dt=1.181s, mfu=44.68%, tokens_per_sec=416,070
iter_num=34: train_lossf=8.6853, dt=1.212s, mfu=44.65%, tokens_per_sec=405,577
iter_num=35: train_lossf=8.4643, dt=1.181s, mfu=44.74%, tokens_per_sec=416,204
iter_num=36: train_lossf=8.6214, dt=1.190s, mfu=44.79%, tokens_per_sec=413,021
