Running with width=2048, lr=0.00390625
----------------------------------
SLURM_JOB_NODELIST: jrc0196
MASTER_ADDR:MASTER_PORT=10.14.1.206:9469
----------------------------------
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] master_addr is only used for static rdzv_backend and when rdzv_endpoint is not specified.
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] 
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] *****************************************
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
[2024-12-10 18:56:37,464] torch.distributed.run: [WARNING] *****************************************
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:9469 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196i.jureca]:9469 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
Overriding: out_dir = out/width_2048_lr_0.00390625/
Overriding: n_head = 32
Overriding: n_embd = 2048
Overriding: learning_rate = 0.00390625
[W socket.cpp:436] [c10d] The server socket cannot be initialized on [::]:42047 (errno: 97 - Address family not supported by protocol).
[W socket.cpp:663] [c10d] The client socket cannot be initialized to connect to [jrc0196.jureca]:42047 (errno: 97 - Address family not supported by protocol).
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
tokens per iteration will be: 491,520
tokens per iteration will be: 491,520
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
Initializing a new model from scratch
defaulting to vocab_size of GPT-2 to 50304 (50257 rounded up for efficiency)
number of parameters: 707.05M
number of parameters: 707.05M
number of parameters: 707.05M
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
number of parameters: 707.05M
num decayed parameter tensors: 50, with 709,099,520 parameters
num non-decayed parameter tensors: 25, with 51,200 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
step 0: train loss 11.1787, val loss 11.1779
iter_num=0: train_lossf=11.1482, dt=110.058s, mfu=0.00%, tokens_per_sec=4,466
iter_num=1: train_lossf=11.1672, dt=3.238s, mfu=0.00%, tokens_per_sec=151,774
iter_num=2: train_lossf=10.9250, dt=3.246s, mfu=0.00%, tokens_per_sec=151,412
iter_num=3: train_lossf=10.4490, dt=3.242s, mfu=0.00%, tokens_per_sec=151,617
iter_num=4: train_lossf=9.9086, dt=3.242s, mfu=0.00%, tokens_per_sec=151,619
iter_num=5: train_lossf=9.6544, dt=3.243s, mfu=0.00%, tokens_per_sec=151,577
iter_num=6: train_lossf=9.6687, dt=3.243s, mfu=0.00%, tokens_per_sec=151,560
iter_num=7: train_lossf=9.4182, dt=3.243s, mfu=0.00%, tokens_per_sec=151,569
iter_num=8: train_lossf=9.1892, dt=3.244s, mfu=0.00%, tokens_per_sec=151,497
iter_num=9: train_lossf=9.1311, dt=3.243s, mfu=0.00%, tokens_per_sec=151,577
iter_num=10: train_lossf=9.1241, dt=3.252s, mfu=0.00%, tokens_per_sec=151,158
iter_num=11: train_lossf=9.0408, dt=3.244s, mfu=55.18%, tokens_per_sec=151,533
iter_num=12: train_lossf=8.9240, dt=3.243s, mfu=55.18%, tokens_per_sec=151,586
iter_num=13: train_lossf=8.7416, dt=3.243s, mfu=55.18%, tokens_per_sec=151,551
iter_num=14: train_lossf=8.8724, dt=3.243s, mfu=55.18%, tokens_per_sec=151,586
iter_num=15: train_lossf=8.6403, dt=3.309s, mfu=55.07%, tokens_per_sec=148,532
iter_num=16: train_lossf=8.9341, dt=3.242s, mfu=55.08%, tokens_per_sec=151,623
iter_num=17: train_lossf=8.6282, dt=3.369s, mfu=54.89%, tokens_per_sec=145,887
iter_num=18: train_lossf=8.5047, dt=3.242s, mfu=54.92%, tokens_per_sec=151,610
iter_num=19: train_lossf=8.4760, dt=3.247s, mfu=54.94%, tokens_per_sec=151,390
iter_num=20: train_lossf=8.5489, dt=3.245s, mfu=54.96%, tokens_per_sec=151,484
iter_num=21: train_lossf=8.2043, dt=3.246s, mfu=54.98%, tokens_per_sec=151,440
iter_num=22: train_lossf=8.4801, dt=3.245s, mfu=55.00%, tokens_per_sec=151,469
iter_num=23: train_lossf=8.4587, dt=3.245s, mfu=55.01%, tokens_per_sec=151,449
iter_num=24: train_lossf=8.2525, dt=3.247s, mfu=55.02%, tokens_per_sec=151,383
iter_num=25: train_lossf=8.4334, dt=3.247s, mfu=55.03%, tokens_per_sec=151,355
iter_num=26: train_lossf=8.1990, dt=3.248s, mfu=55.04%, tokens_per_sec=151,327
iter_num=27: train_lossf=8.0041, dt=3.248s, mfu=55.05%, tokens_per_sec=151,332
iter_num=28: train_lossf=8.2654, dt=3.248s, mfu=55.05%, tokens_per_sec=151,325
iter_num=29: train_lossf=7.9782, dt=3.381s, mfu=54.84%, tokens_per_sec=145,365
iter_num=30: train_lossf=8.1839, dt=3.262s, mfu=54.84%, tokens_per_sec=150,672
iter_num=31: train_lossf=7.8414, dt=3.248s, mfu=54.87%, tokens_per_sec=151,320
iter_num=32: train_lossf=7.8824, dt=3.251s, mfu=54.89%, tokens_per_sec=151,208
iter_num=33: train_lossf=7.8052, dt=3.249s, mfu=54.91%, tokens_per_sec=151,295
iter_num=34: train_lossf=7.8543, dt=3.323s, mfu=54.80%, tokens_per_sec=147,903
iter_num=35: train_lossf=7.7862, dt=3.247s, mfu=54.83%, tokens_per_sec=151,389
iter_num=36: train_lossf=7.8264, dt=3.247s, mfu=54.86%, tokens_per_sec=151,373
iter_num=37: train_lossf=7.7104, dt=3.246s, mfu=54.89%, tokens_per_sec=151,430
iter_num=38: train_lossf=7.5754, dt=3.247s, mfu=54.91%, tokens_per_sec=151,396
iter_num=39: train_lossf=7.7428, dt=3.247s, mfu=54.94%, tokens_per_sec=151,399
iter_num=40: train_lossf=7.6541, dt=3.246s, mfu=54.96%, tokens_per_sec=151,437
iter_num=41: train_lossf=7.5466, dt=3.247s, mfu=54.97%, tokens_per_sec=151,385
iter_num=42: train_lossf=7.6200, dt=3.247s, mfu=54.99%, tokens_per_sec=151,392
iter_num=43: train_lossf=7.3251, dt=3.246s, mfu=55.00%, tokens_per_sec=151,407
iter_num=44: train_lossf=7.5047, dt=3.246s, mfu=55.02%, tokens_per_sec=151,419
iter_num=45: train_lossf=7.2646, dt=3.249s, mfu=55.02%, tokens_per_sec=151,285
iter_num=46: train_lossf=7.4507, dt=3.248s, mfu=55.03%, tokens_per_sec=151,347
iter_num=47: train_lossf=7.2436, dt=3.247s, mfu=55.04%, tokens_per_sec=151,355
iter_num=48: train_lossf=7.3967, dt=3.247s, mfu=55.05%, tokens_per_sec=151,388
iter_num=49: train_lossf=7.5373, dt=3.250s, mfu=55.05%, tokens_per_sec=151,243
iter_num=50: train_lossf=7.2329, dt=3.248s, mfu=55.06%, tokens_per_sec=151,319
iter_num=51: train_lossf=7.1389, dt=3.248s, mfu=55.06%, tokens_per_sec=151,345
iter_num=52: train_lossf=7.2654, dt=3.251s, mfu=55.06%, tokens_per_sec=151,211
iter_num=53: train_lossf=7.0711, dt=3.251s, mfu=55.06%, tokens_per_sec=151,212
iter_num=54: train_lossf=6.9968, dt=3.250s, mfu=55.06%, tokens_per_sec=151,220
iter_num=55: train_lossf=6.8747, dt=3.251s, mfu=55.06%, tokens_per_sec=151,192
iter_num=56: train_lossf=7.2278, dt=3.251s, mfu=55.06%, tokens_per_sec=151,213
iter_num=57: train_lossf=6.9106, dt=3.250s, mfu=55.06%, tokens_per_sec=151,239
iter_num=58: train_lossf=6.9605, dt=3.254s, mfu=55.06%, tokens_per_sec=151,071
iter_num=59: train_lossf=7.4001, dt=3.253s, mfu=55.05%, tokens_per_sec=151,083
iter_num=60: train_lossf=6.9186, dt=3.252s, mfu=55.05%, tokens_per_sec=151,144
iter_num=61: train_lossf=7.1302, dt=3.254s, mfu=55.05%, tokens_per_sec=151,062
iter_num=62: train_lossf=7.0589, dt=3.253s, mfu=55.04%, tokens_per_sec=151,092
iter_num=63: train_lossf=6.9580, dt=3.254s, mfu=55.04%, tokens_per_sec=151,045
iter_num=64: train_lossf=6.8652, dt=3.254s, mfu=55.03%, tokens_per_sec=151,042
iter_num=65: train_lossf=6.8394, dt=3.257s, mfu=55.03%, tokens_per_sec=150,920
iter_num=66: train_lossf=6.8603, dt=3.256s, mfu=55.02%, tokens_per_sec=150,943
iter_num=67: train_lossf=6.8147, dt=3.258s, mfu=55.01%, tokens_per_sec=150,864
iter_num=68: train_lossf=6.8434, dt=3.261s, mfu=55.00%, tokens_per_sec=150,711
iter_num=69: train_lossf=6.9530, dt=3.260s, mfu=54.99%, tokens_per_sec=150,765
iter_num=70: train_lossf=7.3056, dt=3.261s, mfu=54.98%, tokens_per_sec=150,745
iter_num=71: train_lossf=6.6802, dt=3.259s, mfu=54.97%, tokens_per_sec=150,818
iter_num=72: train_lossf=7.0052, dt=3.261s, mfu=54.96%, tokens_per_sec=150,716
iter_num=73: train_lossf=6.9482, dt=3.262s, mfu=54.95%, tokens_per_sec=150,694
iter_num=74: train_lossf=6.8537, dt=3.261s, mfu=54.95%, tokens_per_sec=150,715
iter_num=75: train_lossf=6.8822, dt=3.261s, mfu=54.94%, tokens_per_sec=150,731
iter_num=76: train_lossf=6.8572, dt=3.261s, mfu=54.93%, tokens_per_sec=150,728
iter_num=77: train_lossf=6.7188, dt=3.262s, mfu=54.93%, tokens_per_sec=150,675
iter_num=78: train_lossf=6.6897, dt=3.262s, mfu=54.92%, tokens_per_sec=150,689
iter_num=79: train_lossf=6.8684, dt=3.263s, mfu=54.91%, tokens_per_sec=150,639
iter_num=80: train_lossf=6.9502, dt=3.261s, mfu=54.91%, tokens_per_sec=150,749
iter_num=81: train_lossf=6.9435, dt=3.262s, mfu=54.91%, tokens_per_sec=150,678
